#
#  Times of cadences affected by momentum dumps
#  Created Tue May 30 14:17:38 EDT 2023 by roland
#
#  Fields are UTC, TJD, spacecraft time, cadence number, FFI number
#
2018-07-28 08:03:42.381131 UTC, 1327.83670792, 1216800240.0, 72275, 4818
2018-07-28 08:05:42.381083 UTC, 1327.83809681, 1216800360.0, 72276, 4818
2018-07-28 08:07:42.381034 UTC, 1327.83948570, 1216800480.0, 72277, 4818
2018-07-28 08:09:42.380986 UTC, 1327.84087459, 1216800600.0, 72278, 4818
2018-07-28 08:11:42.380938 UTC, 1327.84226348, 1216800720.0, 72279, 4818
2018-07-28 08:13:42.380890 UTC, 1327.84365236, 1216800840.0, 72280, 4818
2018-07-28 08:15:42.380841 UTC, 1327.84504125, 1216800960.0, 72281, 4818
2018-07-28 08:17:42.380793 UTC, 1327.84643014, 1216801080.0, 72282, 4818
2018-07-30 20:03:42.294298 UTC, 1330.33670692, 1217016240.0, 74075, 4938
2018-07-30 20:05:42.294250 UTC, 1330.33809581, 1217016360.0, 74076, 4938
2018-07-30 20:07:42.294202 UTC, 1330.33948469, 1217016480.0, 74077, 4938
2018-07-30 20:09:42.294154 UTC, 1330.34087358, 1217016600.0, 74078, 4938
2018-07-30 20:11:42.294105 UTC, 1330.34226247, 1217016720.0, 74079, 4938
2018-07-30 20:13:42.294057 UTC, 1330.34365136, 1217016840.0, 74080, 4938
2018-07-30 20:15:42.294009 UTC, 1330.34504025, 1217016960.0, 74081, 4938
2018-07-30 20:17:42.293961 UTC, 1330.34642914, 1217017080.0, 74082, 4938
2018-08-02 08:03:42.207466 UTC, 1332.83670591, 1217232240.0, 75875, 5058
2018-08-02 08:05:42.207418 UTC, 1332.83809480, 1217232360.0, 75876, 5058
2018-08-02 08:07:42.207369 UTC, 1332.83948369, 1217232480.0, 75877, 5058
2018-08-02 08:09:42.207321 UTC, 1332.84087258, 1217232600.0, 75878, 5058
2018-08-02 08:11:42.207273 UTC, 1332.84226146, 1217232720.0, 75879, 5058
2018-08-02 08:13:42.207225 UTC, 1332.84365035, 1217232840.0, 75880, 5058
2018-08-02 08:15:42.207176 UTC, 1332.84503924, 1217232960.0, 75881, 5058
2018-08-02 08:17:42.207128 UTC, 1332.84642813, 1217233080.0, 75882, 5058
2018-08-04 20:03:42.120633 UTC, 1335.33670491, 1217448240.0, 77675, 5178
2018-08-04 20:05:42.120585 UTC, 1335.33809379, 1217448360.0, 77676, 5178
2018-08-04 20:07:42.120537 UTC, 1335.33948268, 1217448480.0, 77677, 5178
2018-08-04 20:09:42.120489 UTC, 1335.34087157, 1217448600.0, 77678, 5178
2018-08-04 20:11:42.120440 UTC, 1335.34226046, 1217448720.0, 77679, 5178
2018-08-04 20:13:42.120392 UTC, 1335.34364935, 1217448840.0, 77680, 5178
2018-08-04 20:15:42.120344 UTC, 1335.34503824, 1217448960.0, 77681, 5178
2018-08-04 20:17:42.120296 UTC, 1335.34642712, 1217449080.0, 77682, 5178
2018-08-07 08:03:42.033801 UTC, 1337.83670390, 1217664240.0, 79475, 5298
2018-08-07 08:05:42.033753 UTC, 1337.83809279, 1217664360.0, 79476, 5298
2018-08-07 08:07:42.033704 UTC, 1337.83948168, 1217664480.0, 79477, 5298
2018-08-07 08:09:42.033656 UTC, 1337.84087056, 1217664600.0, 79478, 5298
2018-08-07 08:11:42.033608 UTC, 1337.84225945, 1217664720.0, 79479, 5298
2018-08-07 08:13:42.033560 UTC, 1337.84364834, 1217664840.0, 79480, 5298
2018-08-07 08:15:42.033511 UTC, 1337.84503723, 1217664960.0, 79481, 5298
2018-08-07 08:17:42.033463 UTC, 1337.84642612, 1217665080.0, 79482, 5298
2018-08-09 03:23:41.971169 UTC, 1339.64225873, 1217820240.0, 80775, 5384
2018-08-09 03:25:41.971121 UTC, 1339.64364762, 1217820360.0, 80776, 5384
2018-08-09 03:27:41.971073 UTC, 1339.64503651, 1217820480.0, 80777, 5384
2018-08-09 03:29:41.971025 UTC, 1339.64642539, 1217820600.0, 80778, 5385
2018-08-09 03:31:41.970977 UTC, 1339.64781428, 1217820720.0, 80779, 5385
2018-08-09 03:33:41.970929 UTC, 1339.64920317, 1217820840.0, 80780, 5385
2018-08-09 03:35:41.970881 UTC, 1339.65059206, 1217820960.0, 80781, 5385
2018-08-09 03:37:41.970833 UTC, 1339.65198095, 1217821080.0, 80782, 5385
2018-08-09 03:39:41.970785 UTC, 1339.65336984, 1217821200.0, 80783, 5385
2018-08-09 03:41:41.970737 UTC, 1339.65475872, 1217821320.0, 80784, 5385
2018-08-09 03:43:41.970689 UTC, 1339.65614761, 1217821440.0, 80785, 5385
2018-08-09 03:45:41.970641 UTC, 1339.65753650, 1217821560.0, 80786, 5385
2018-08-09 03:47:41.970593 UTC, 1339.65892539, 1217821680.0, 80787, 5385
2018-08-11 16:17:41.883472 UTC, 1342.17975771, 1218039480.0, 82602, 5506
2018-08-11 16:19:41.883424 UTC, 1342.18114660, 1218039600.0, 82603, 5506
2018-08-11 16:21:41.883376 UTC, 1342.18253549, 1218039720.0, 82604, 5506
